Component, GAV, License, URL, Scope, Path
Atlassian OAuth Consumer SPI,com.atlassian.oauth:atlassian-oauth-consumer-spi:atlassian-plugin:1.9.8,BSD License,http://www.atlassian.com/public-pom/atlassian-oauth/atlassian-oauth-consumer-spi,binary,
Atlassian OAuth Service Provider Plugin,com.atlassian.oauth:atlassian-oauth-service-provider-plugin:atlassian-plugin:1.9.8,BSD License,http://www.atlassian.com/public-pom/atlassian-oauth/atlassian-oauth-service-provider-plugin,binary,
Atlassian OAuth Service Provider SPI,com.atlassian.oauth:atlassian-oauth-service-provider-spi:atlassian-plugin:1.9.8,BSD License,http://www.atlassian.com/public-pom/atlassian-oauth/atlassian-oauth-service-provider-spi,binary,
Atlassian OAuth Shared Base Library,com.atlassian.oauth:atlassian-oauth-shared:jar:1.9.8,BSD License,http://www.atlassian.com/public-pom/atlassian-oauth/atlassian-oauth-shared,binary,
Atlassian OfBiz Entity Engine,com.atlassian.ofbiz:entityengine:jar:1.0.60,Apache License 2.0,http://maven.apache.org/entityengine,binary,
Atlassian OfBiz Share,com.atlassian.ofbiz:entityengine-share:jar:1.0.60,Apache License 2.0,http://maven.apache.org/entityengine-share,binary,
Atlassian Plugins - Core,com.atlassian.plugins:atlassian-plugins-core:jar:3.2.5,BSD License,http://docs.atlassian.com/atlassian-plugins-core/3.2.5/atlassian-plugins-core,binary,
Atlassian Plugins - Event Listener,com.atlassian.plugins:atlassian-plugins-eventlistener:jar:3.2.5,BSD License,http://docs.atlassian.com/atlassian-plugins-eventlistener/3.2.5/atlassian-plugins-eventlistener,binary,
Atlassian Plugins - OSGi bridge framework bundle,com.atlassian.plugins:atlassian-plugins-osgi-bridge:jar:3.2.5,BSD License,http://docs.atlassian.com/atlassian-plugins-osgi-bridge/3.2.5/atlassian-plugins-osgi-bridge,binary,com.atlassian.plugins:atlassian-plugins-osgi:3.2.5/osgi-framework-bundles.zip/atlassian-plugins-osgi-bridge-3.2.5.jar/META-INF/maven/com.atlassian.plugins/atlassian-plugins-osgi-bridge
Atlassian Plugins - OSGi events,com.atlassian.plugins:atlassian-plugins-osgi-events:jar:3.2.5,BSD License,http://docs.atlassian.com/atlassian-plugins-osgi-events/3.2.5/atlassian-plugins-osgi-events,binary,
Atlassian Plugins - OSGi Loader,com.atlassian.plugins:atlassian-plugins-osgi:jar:3.2.5,BSD License,http://docs.atlassian.com/atlassian-plugins-osgi/3.2.5/atlassian-plugins-osgi,binary,
Atlassian Plugins - Spring DM extender repackaged bundle,com.atlassian.plugins:atlassian-plugins-osgi-spring-extender:bundle:3.2.5,BSD License,http://docs.atlassian.com/atlassian-plugins-osgi-spring-extender/3.2.5/atlassian-plugins-osgi-spring-extender,binary,com.atlassian.plugins:atlassian-plugins-osgi:3.2.5/osgi-framework-bundles.zip/atlassian-plugins-osgi-spring-extender-3.2.5.jar/META-INF/maven/com.atlassian.plugins/atlassian-plugins-osgi-spring-extender
Atlassian Plugins - Web Resource Common,com.atlassian.plugins:atlassian-plugins-webresource-common:jar:3.0.0,BSD License,http://opensource.org/licenses/BSD-3-Clause,binary,
Atlassian Plugins - Web Resource Common,com.atlassian.plugins:atlassian-plugins-webresource-common:jar:3.2.5,BSD License,http://docs.atlassian.com/atlassian-plugins-webresource-common/3.2.5/atlassian-plugins-webresource-common,binary,
Atlassian Plugins - Web Resources - Implementation Plugin,com.atlassian.plugins:atlassian-plugins-webresource-plugin:atlassian-plugin:3.1.0,BSD,http://www.atlassian.com/public-pom/atlassian-plugins-webresource-parent/atlassian-plugins-webresource-plugin,binary,
Atlassian Plugins - Web Resources API,com.atlassian.plugins:atlassian-plugins-webresource-api:jar:3.1.0,BSD,http://www.atlassian.com/public-pom/atlassian-plugins-webresource-parent/atlassian-plugins-webresource-api,binary,
Atlassian Plugins - Web Resources,com.atlassian.plugins:atlassian-plugins-webresource:jar:3.1.0,BSD,http://www.atlassian.com/public-pom/atlassian-plugins-webresource-parent/atlassian-plugins-webresource,binary,
Atlassian Plugins - Web Servlet,com.atlassian.plugins:atlassian-plugins-servlet:jar:3.2.5,BSD License,http://docs.atlassian.com/atlassian-plugins-servlet/3.2.5/atlassian-plugins-servlet,binary,
